Database Size,Noise,Original DB,Augmented DB,Difference
10,0.1,0.5,0.5,0
10,0.2,0.5,0.300000012,0.199999988
10,0.3,0.400000006,0.400000006,0
10,0.4,0.5,0.699999988,0.199999988
10,0.5,0.300000012,0.5,0.199999988
10,0.6,0.400000006,0.800000012,0.400000006
10,0.7,0.600000024,0.5,0.100000024
10,0.8,0.400000006,0.699999988,0.299999982
10,0.9,0.699999988,0.699999988,0
100,0.1,0.5,0.479999989,0.020000011
100,0.2,0.49000001,0.469999999,0.020000011
100,0.3,0.5,0.519999981,0.019999981
100,0.4,0.5,0.540000021,0.040000021
100,0.5,0.430000007,0.5,0.069999993
100,0.6,0.419999987,0.50999999,0.090000004
100,0.7,0.50999999,0.540000021,0.030000031
100,0.8,0.540000021,0.519999981,0.020000041
100,0.9,0.5,0.49000001,0.00999999
1000,0.1,0.497999996,0.492000014,0.005999982
1000,0.2,0.483999997,0.495999992,0.011999995
1000,0.3,0.504000008,0.486999989,0.01700002
1000,0.4,0.50999999,0.488000005,0.021999985
1000,0.5,0.488000005,0.49000001,0.002000004
1000,0.6,0.519999981,0.528999984,0.009000003
1000,0.7,0.49000001,0.486000001,0.004000008
1000,0.8,0.510999978,0.501999974,0.009000003
1000,0.9,0.499000013,0.479000002,0.020000011
10000,0.1,0.503799975,0.502900004,0.000899971
10000,0.2,0.497099996,0.494500011,0.002599984
10000,0.3,0.497500002,0.50150001,0.004000008
10000,0.4,0.5,0.50120002,0.00120002
10000,0.5,0.500199974,0.499799997,0.000399977
10000,0.6,0.504199982,0.494399995,0.009799987
10000,0.7,0.505500019,0.505299985,0.000200033
10000,0.8,0.496100008,0.496899992,0.000799984
10000,0.9,0.504499972,0.494700015,0.009799957
100000,0.1,0.500670016,0.500639975,3.00E-05
100000,0.2,0.503050029,0.503009975,4.01E-05
100000,0.3,0.501240015,0.500699997,0.000540018
100000,0.4,0.499269992,0.499520004,0.000250012
100000,0.5,0.49812001,0.500760019,0.002640009
100000,0.6,0.500829995,0.501010001,0.000180006
100000,0.7,0.502240002,0.500989974,0.001250029
100000,0.8,0.498210013,0.500509977,0.002299964
100000,0.9,0.498519987,0.500840008,0.002320021
